time,type,description,details
2690,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
2700,ASSIGNMENT_MADE,Courier 2 assigned orders [23],"{""courier_id"": 2, ""order_ids"": [23], ""bundle_size"": 1, ""has_relay"": false}"
2700,ASSIGNMENT_MADE,Courier 4 assigned orders [22],"{""courier_id"": 4, ""order_ids"": [22], ""bundle_size"": 1, ""has_relay"": false}"
2713,ORDER_PLACED,Order 27 placed,"{""order_id"": 27, ""restaurant_id"": 0}"
2740,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
2763,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
2780,ORDER_PICKED_UP,Order 21 picked up by courier 0,"{""order_id"": 21, ""courier_id"": 0}"
2780,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": []}"
2826,ORDER_READY,Order 25 is ready for pickup,"{""order_id"": 25}"
2830,ORDER_PICKED_UP,Order 18 picked up by courier 3,"{""order_id"": 18, ""courier_id"": 3}"
2830,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
2853,ORDER_PICKED_UP,Order 14 picked up by courier 1,"{""order_id"": 14, ""courier_id"": 1}"
2853,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
2858,ORDER_EXPIRED,Order 19 expired (not matched within 900s),"{""order_id"": 19}"
2870,ORDER_READY,Order 26 is ready for pickup,"{""order_id"": 26}"
2893,ORDER_READY,Order 27 is ready for pickup,"{""order_id"": 27}"
2896,ORDER_PLACED,Order 28 placed,"{""order_id"": 28, ""restaurant_id"": 3}"
2972,ORDER_PLACED,Order 29 placed,"{""order_id"": 29, ""restaurant_id"": 0}"
2982,ORDER_PLACED,Order 30 placed,"{""order_id"": 30, ""restaurant_id"": 4}"
